Антонова Лидия Федоровна
Родионова Галина Евгеньевна
Меркушева Зоя Дмитриевна
Дроздова Ирина Дмитриевна
Голубева Наталья Наумовна
Красильников Митофан Борисович
Савельев Лукьян Феофанович
Цветков Пров Ефремович
Рожкова Наталья Егоровна
Карпова Майя Борисовна
Жданова Иванна Робертовна
Куликова Марфа Афанасьевна
Павлова Ульяна Аскольдовна
Шарапова Милица Александровна
Орлов Любим Васильевич
Лобанов Кондратий Вячеславович
Воронов Федосий Феофанович
Доронин Константин Ярославович
Смирнова Алина Даниловна
Королева Раиса Богдановна
Брагина Марфа Тимуровна
Селиверстов Валентин Харламович
Быков Рубен Бориславович
Евдокимова Клавдия Ильинична
Филатов Олимпий Витальевич
Ефремова Прасковья Олеговна
Харитонова Лукия Григорьевна
Маслов Самсон Венедиктович
Кудрявцев Порфирий Чеславович
Абрамов Никита Устинович
Виноградова Екатерина Богдановна
Иванова Татьяна Львовна
Блинова Лукия Алексеевна
Комиссарова Полина Леонидовна
Шарапов Григорий Матвеевич
Лазарев Леонтий Фролович
Игнатьев Поликарп Демьянович
Маслов Наум Всеволодович
